"id","title","component","owner","priority","status","reason","lab","org_unit","program","customer_contact","updated_by","submitted_date","closed_date","acknowledged_date","eta","eta_request","category","cell_id"
"=HYPERLINK(""https://hsdes.intel.com/resource/16014982963"",""16014982963"")","[WW43.2[SYSTEM DEBUG][JSL+]Please check and clean the socket of  Cell 12  in APSE1b and reset the UnitAPPV01/PG12 MPE Lab/12","lab.PPV.Remote Support","izzatf1x","2-high","complete","released","PG12 MPE Lab","MPE Labs","JSL","shaikax","izzatf1x","=TEXT(""2021-10-19 15:30:30.990"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 19:07:11.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 16:32:36.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-21 16:33:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16014977964"",""16014977964"")","[WW43.2][REMOTE SUPPORT] [JSL+]Please Receive MIR 1391326  from Handler & place the units.,APPV01/PG12 MPE Lab/4,10,APPV01/PG12 MPE Lab/4,10,11","lab.PPV.Remote Support","izzatf1x","2-high","complete","released","PG12 MPE Lab","MPE Labs","JSL","shaikax","izzatf1x","=TEXT(""2021-10-19 10:45:24.367"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 16:26:14.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 11:01:49.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-02 11:02:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/15010114896"",""15010114896"")","[WW43.2D][SYSTEM DEBUG][DG2-128][APPV2B] Cell 6 down due to fail 74060026,WINDOWS_FAILED_GSE_ALLAESDECRYPT_1","lab.PPV.System Debug","awatifbx","2-high","complete",,"PG12 MPE Lab","MPE Labs","DG2 128",,"awatifbx","=TEXT(""2021-10-19 08:54:44.397"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 10:12:49.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 09:00:18.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-22 09:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/15010114827"",""15010114827"")","[WW43.1N][HANDLER][APPV02] - HANDLER DOWN","lab.PPV.Handler","mbin324x","2-high","complete","released","PG12 MPE Lab","MPE.PGM.PPV","DG2 128","mbin324x","binm186x","=TEXT(""2021-10-19 06:08:15.957"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 07:07:15.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 06:08:42.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-21 06:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16014974332"",""16014974332"")","[WW43.1][REMOTE SUPPORT] [JSL+]Please Receive MIR 1391338  from IC team & place the units.,APPV01/PG12 MPE Lab/3,APPV01/PG12 MPE Lab/3,12","lab.PPV.Remote Support","izzatf1x","2-high","complete",,"PG12 MPE Lab","MPE Labs","JSL","shaikax","bint180x","=TEXT(""2021-10-18 18:35:54.513"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-21 16:28:37.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-18 18:43:48.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-01 18:44:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/15010112464"",""15010112464"")","[APPV2b][DG2-128][Remote support] Part swap for cell 5,APPV02/PG12 MPE Lab/5","lab.PPV.Remote Support","izzatf1x","2-high","complete","released","PG12 MPE Lab","MPE.PGM.PPV","DG2 128","lchiong0","nkasimx","=TEXT(""2021-10-18 13:46:32.773"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-01 07:24:30.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-18 13:57:14.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-01 13:58:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/15010111970"",""15010111970"")","[System Debug][DG2-128][APPV2B] system debug for cell 6,APPV02/PG12 MPE Lab/6","lab.PPV.System Debug","nkasimx","2-high","complete",,"PG12 MPE Lab","MPE.PGM.PPV","DG2 128","lchiong0","awatifbx","=TEXT(""2021-10-18 12:30:16.623"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-18 18:50:25.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-18 12:41:41.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 12:45:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/15010109680"",""15010109680"")","[WW43.0N][HANDLER][TGL][APPV10]-Found 1 unit damaged after test 1A","lab.PPV.Handler","mbin324x","2-high","complete","released","PG12 MPE Lab","MPE.PGM.PPV","TGL","mbin324x","mbin324x","=TEXT(""2021-10-17 20:40:42.110"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 06:05:34.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-17 20:41:02.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 20:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/15010109443"",""15010109443"")","[WW43.0D][APPV15][HANDLER] - Found 1 unit damaged after test 3A","lab.PPV.Handler","izzatf1x","2-high","complete","released","PG12 MPE Lab","MPE Labs","ICX D HCC",,"izzatf1x","=TEXT(""2021-10-17 14:17:21.367"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-17 16:34:43.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-17 14:19:10.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 14:20:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/15010109429"",""15010109429"")","[WW43.0D][SYSTEM DEBUG][APPV10]-CELL 2 QCS TRIGGER BIN 87330247 (POWERON_TRANSITION_SETUP_M2_VHDX),APPV10/PG12 MPE Lab/2","lab.PPV.System Debug","nkasimx","2-high","complete",,"PG12 MPE Lab","MPE Labs","TGL",,"fathiyax","=TEXT(""2021-10-17 13:08:05.277"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-25 14:02:00.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-17 13:09:17.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-19 13:10:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
